ClassPriors	47.0,33.0,                 0.5875,0.4125
a	168.0, 274.0,                  0.010466988727858293, 0.015251511286118352
ab	4.0, 0.0,                  0.00030967422271770096, 5.546004104043037e-05
able	3.0, 8.0,                  0.0002477393781741608, 0.0004991403693638733
abn	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
about	8.0, 36.0,                  0.0005574136008918618, 0.0020520215184959235
above	2.0, 5.0,                  0.0001858045336306206, 0.00033276024624258224
absent	1.0, 0.0,                  0.0001238696890870804, 5.546004104043037e-05
absenteeism	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
absolute	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
absolutely	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
absorb	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
abuse	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
abused	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
acce	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
accelerate	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
accelerated	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
accept	0.0, 3.0,                  6.19348445435402e-05, 0.0002218401641617215
acceptable	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
accepted	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
accepting	0.0, 2.0,                  6.19348445435402e-05, 0.00016638012312129112
accepts	1.0, 0.0,                  0.0001238696890870804, 5.546004104043037e-05
access	2.0, 9.0,                  0.0001858045336306206, 0.0005546004104043037
accomodate	4.0, 0.0,                  0.00030967422271770096, 5.546004104043037e-05
accomodates	1.0, 0.0,                  0.0001238696890870804, 5.546004104043037e-05
accompanied	1.0, 0.0,                  0.0001238696890870804, 5.546004104043037e-05
according	1.0, 1.0,                  0.0001238696890870804, 0.00011092008208086075
account	16.0, 13.0,                  0.0010528923572401833, 0.0007764405745660252
accounting	4.0, 0.0,                  0.00030967422271770096, 5.546004104043037e-05
accounts	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
accurate	1.0, 0.0,                  0.0001238696890870804, 5.546004104043037e-05
aches	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
achieve	1.0, 0.0,                  0.0001238696890870804, 5.546004104043037e-05
achieved	1.0, 0.0,                  0.0001238696890870804, 5.546004104043037e-05
acid	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
acquire	1.0, 0.0,                  0.0001238696890870804, 5.546004104043037e-05
acquisition	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
acrobaat	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
acrobat	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
across	5.0, 4.0,                  0.0003716090672612412, 0.00027730020520215184
act	0.0, 3.0,                  6.19348445435402e-05, 0.0002218401641617215
action	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
activate	0.0, 4.0,                  6.19348445435402e-05, 0.00027730020520215184
active	1.0, 0.0,                  0.0001238696890870804, 5.546004104043037e-05
activists	1.0, 0.0,                  0.0001238696890870804, 5.546004104043037e-05
activities	7.0, 0.0,                  0.0004954787563483216, 5.546004104043037e-05
actor	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
actress	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
actual	0.0, 3.0,                  6.19348445435402e-05, 0.0002218401641617215
actually	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
ad	0.0, 20.0,                  6.19348445435402e-05, 0.0011646608618490378
adage	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
adapted	0.0, 1.0,                  6.19348445435402e-05, 0.00011092008208086075
add	2.0, 6.0,                  0.0001858045336306206, 0.0003882202872830126
added	0.0, 2.0,                  6.19348445435402e-05, 0.00016638012312129112
adding	0.0, 2.0,                  6.19348445435402e-05, 0.00016638012312129112
addition	5.0, 0.0,                  0.0003716090672612412, 5.546004104043037e-05
additional	11.0, 0.0,                  0.0007432181345224824, 5.546004104043037e-05
additionally	1.0, 1.0,                  0.0001238696890870804, 0.00011092008208086075
